Name,SALARY,POS,Starting,Team,Opponent,,Away,Home,Projecte Points,HR Forecasts,Pojected Points with HR Forecast,Secondary Name,qAB,HH%,AB,H,2B,3B,HR,BB,BA,OBP,OPS,BVP Points,BWAR,roba,WHIP,K,,,,,,17.22820339
Nick Castellanos,"4,500.00",OF,YES,PHI,NYY,Phi,Phi,NYY,7.9,10,12.9,N. Castellanos,100%,100%,2,0,0,0,0,0,0,0,0,4,-0.4,0.33,,,,,,,,
Francisco Lindor,"5,100.00",SS,EXP.,NYM,SF,NYM,NYM,SF,7.9,8,11.9,F. Lindor,20%,7%,14,3,1,0,0,0,0.214,0.2,0.486,19.17,1,0.3,,,,,,,,
Matt Olson,"5,200.00",1B,YES,ATL,TEX,Atl,Atl,TEX,7.9,10,12.9,M. Olson,38%,8%,11,2,1,0,0,1,0.182,0.231,0.504,16.38,4,0.368,,,,,,,,
Ramon Urias,"3,100.00",3B,YES,BAL,COL,#N/A,COL,BAL,7.8,10,12.8,R. Urias,,,,,,,,,,,,0,1,0.3,,,,,,,,
Ceddanne Rafaela,"4,200.00",2B/OF,YES,BOS,LAD,#N/A,LAD,BOS,7.8,10,12.8,C. Rafaela,,,,,,,,,,,,0,4.1,0.339,,,,,,,,
Nathan Lukes,"3,500.00",OF,YES,TOR,DET,Tor,Tor,DET,7.8,8,11.8,N. Lukes,,,,,,,,,,,,0,1.2,0.328,,,,,,,,
Victor Scott,"3,200.00",OF,YES,STL,SD,#N/A,SD,STL,7.8,10,12.8,V. Scott,,,,,,,,,,,,0,1,0.3,,,,,,,,
Marcus Semien,"4,100.00",2B,YES,TEX,ATL,#N/A,ATL,TEX,7.8,10,12.8,M. Semien,88%,38%,7,2,2,0,0,1,0.286,0.375,0.946,14.87,2.6,0.303,,,,,,,,
Colton Cowser,"4,300.00",OF,YES,BAL,COL,#N/A,COL,BAL,7.7,10,12.7,C. Cowser,,,,,,,,,,,,0,1.1,0.305,,,,,,,,
Andy Pages,"4,000.00",OF,YES,LAD,BOS,LAD,LAD,BOS,7.7,10,12.7,A. Pages,33%,33%,2,0,0,0,0,0,0,0,0,2.66,3.2,0.35,,,,,,,,
Spencer Steer,"3,500.00",1B,YES,CIN,TB,#N/A,TB,CIN,7.7,10,12.7,S. Steer,33%,33%,3,1,0,0,0,0,0.333,0.333,0.666,5.99,0.1,0.31,,,,,,,,
Shea Langeliers,"3,800.00",C,YES,OAK,HOU,Oak,Oak,HOU,7.7,8,11.7,S. Langeliers,,,,,,,,,,,,0,0.5,0.32,,,,,,,,
Vinnie Pasquantino,"3,900.00",1B,YES,KC,CLE,#N/A,CLE,KC,7.7,8,11.7,V. Pasquantino,0%,0%,2,0,0,0,0,0,0,0,0,2,1.6,0.337,,,,,,,,
Carlos Correa,"3,400.00",SS,YES,MIN,WAS,#N/A,WAS,MIN,7.7,10,12.7,C. Correa,,,,,,,,,,,,0,0.1,0.309,,,,,,,,
Paul Goldschmidt,"3,700.00",1B,YES,NYY,PHI,#N/A,PHI,NYY,7.7,10,12.7,P. Goldschmidt,38%,23%,13,5,3,0,1,0,0.385,0.385,1.231,24.61,1.7,0.34,,,,,,,,
Brendan Donovan,"4,000.00",2B,YES,STL,SD,#N/A,SD,STL,7.7,10,12.7,B. Donovan,40%,20%,5,0,0,0,0,0,0,0,0,5.6,2.5,0.349,,,,,,,,
Kyle Manzardo,"3,400.00",1B,YES,CLE,KC,Cle,Cle,KC,7.6,8,11.6,K. Manzardo,0%,0%,2,0,0,0,0,0,0,0,0,2,0.3,0.321,,,,,,,,
Harrison Bader,"3,300.00",OF,YES,MIN,WAS,#N/A,WAS,MIN,7.6,10,12.6,H. Bader,33%,11%,8,2,0,0,0,0,0.25,0.222,0.472,11.38,2.4,0.337,,,,,,,,
Anthony Volpe,"3,400.00",SS,YES,NYY,PHI,#N/A,PHI,NYY,7.6,10,12.6,A. Volpe,0%,0%,2,0,0,0,0,0,0,0,0,2,1.3,0.294,,,,,,,,
Brandon Nimmo,"4,600.00",OF,EXP.,NYM,SF,NYM,NYM,SF,7.6,8,11.6,B. Nimmo,24%,10%,17,1,0,0,1,2,0.059,0.2,0.435,22.03,2.8,0.353,,,,,,,,
Sam Haggerty,"4,100.00",OF,YES,TEX,ATL,#N/A,ATL,TEX,7.6,10,12.6,S. Haggerty,,,,,,,,,,,,0,1,0.3,,,,,,,,
Tyler Freeman,"4,300.00",OF,YES,COL,BAL,Col,Col,BAL,7.5,10,12.5,T. Freeman,,,,,,,,,,,,0,-0.1,0.371,,,,,,,,
Hunter Goodman,"4,600.00",C,YES,COL,BAL,Col,Col,BAL,7.5,10,12.5,H. Goodman,,,,,,,,,,,,0,1.8,0.363,,,,,,,,
Noelvi Marte,"4,300.00",3B,YES,CIN,TB,#N/A,TB,CIN,7.5,10,12.5,N. Marte,50%,0%,1,1,0,0,0,0,1,1,2,6.5,1,0.3,,,,,,,,
Tyler Soderstrom,"4,100.00",OF,YES,OAK,HOU,Oak,Oak,HOU,7.5,8,11.5,T. Soderstrom,,,,,,,,,,,,0,1.5,0.335,,,,,,,,
Maikel Garcia,"4,400.00",3B/SS,YES,KC,CLE,#N/A,CLE,KC,7.5,8,11.5,M. Garcia,17%,0%,11,1,1,0,0,1,0.091,0.167,0.349,14.78,2.8,0.339,,,,,,,,
Angel Martinez,"3,300.00",OF,YES,CLE,KC,Cle,Cle,KC,7.5,8,11.5,A. Martinez,,,,,,,,,,,,0,1,0.3,,,,,,,,
Jorge Polanco,"3,400.00",2B,EXP.,SEA,LAA,Sea,Sea,LAA,7.5,8,11.5,J. Polanco,50%,50%,6,0,0,0,0,0,0,0,0,7,1,0.3,,,,,,,,
Willi Castro,"4,100.00",2B/OF,YES,MIN,WAS,#N/A,WAS,MIN,7.5,10,12.5,W. Castro,0%,0%,1,0,0,0,0,0,0,0,0,1,1,0.3,,,,,,,,
Alec Burleson,"3,800.00",OF,YES,STL,SD,#N/A,SD,STL,7.5,10,12.5,A. Burleson,0%,0%,2,0,0,0,0,0,0,0,0,2,1.3,0.354,,,,,,,,
Austin Hays,"4,600.00",OF,YES,CIN,TB,#N/A,TB,CIN,7.4,10,12.4,A. Hays,83%,33%,6,3,0,0,0,0,0.5,0.5,1,12.16,1.2,0.361,,,,,,,,
Gavin Lux,"3,100.00",OF,YES,CIN,TB,#N/A,TB,CIN,7.4,10,12.4,G. Lux,100%,0%,2,1,0,0,0,0,0.5,0.5,1,6,0.2,0.333,,,,,,,,
Wenceel Perez,"4,300.00",OF,YES,DET,TOR,#N/A,TOR,DET,7.4,8,11.4,W. Perez,33%,33%,3,0,0,0,0,0,0,0,0,3.66,1,0.3,,,,,,,,
Yainer Diaz,"3,200.00",C,YES,HOU,OAK,#N/A,OAK,HOU,7.4,8,11.4,Y. Diaz,33%,0%,3,0,0,0,0,0,0,0,0,3.33,1.1,0.299,,,,,,,,
J.P. Crawford,"3,200.00",SS,EXP.,SEA,LAA,Sea,Sea,LAA,7.4,8,11.4,J. Crawford,64%,36%,10,4,2,0,0,1,0.4,0.455,1.055,19.91,3.1,0.337,,,,,,,,
Xander Bogaerts,"4,000.00",SS,YES,SD,STL,SD,SD,STL,7.4,10,12.4,X. Bogaerts,22%,11%,9,1,1,0,0,0,0.111,0.111,0.333,11.89,1.8,0.326,,,,,,,,
Gavin Sheets,"3,500.00",OF,YES,SD,STL,SD,SD,STL,7.4,10,12.4,G. Sheets,0%,0%,3,0,0,0,0,0,0,0,0,3,0.5,0.325,,,,,,,,
Ivan Herrera,"4,500.00",C,YES,STL,SD,#N/A,SD,STL,7.4,10,12.4,I. Herrera,0%,0%,3,0,0,0,0,0,0,0,0,3,1,0.3,,,,,,,,
Austin Riley,"4,200.00",3B,YES,ATL,TEX,Atl,Atl,TEX,7.4,10,12.4,A. Riley,33%,0%,8,2,1,0,0,1,0.25,0.333,0.708,13.62,1.7,0.335,,,,,,,,
Gleyber Torres,"4,500.00",2B,YES,DET,TOR,#N/A,TOR,DET,7.3,8,11.3,G. Torres,40%,10%,29,8,1,0,1,1,0.276,0.3,0.714,41.79,2.1,0.361,,,,,,,,
Josh Bell,"3,200.00",1B,YES,WAS,MIN,WAS,WAS,MIN,7.3,10,12.3,J. Bell,,,,,,,,,,,,0,1,0.3,,,,,,,,
Austin Wells,"3,500.00",C,YES,NYY,PHI,#N/A,PHI,NYY,7.3,10,12.3,A. Wells,,,,,,,,,,,,0,0.4,0.302,,,,,,,,
Willson Contreras,"4,200.00",1B,YES,STL,SD,#N/A,SD,STL,7.3,10,12.3,W. Contreras,67%,67%,3,2,0,0,0,0,0.667,0.667,1.334,9.01,2,0.349,,,,,,,,
Jurickson Profar,"3,400.00",OF,YES,ATL,TEX,Atl,Atl,TEX,7.3,10,12.3,J. Profar,60%,20%,5,1,0,0,0,0,0.2,0.2,0.4,7.6,1,0.3,,,,,,,,
Josh Smith,"3,700.00",3B,YES,TEX,ATL,#N/A,ATL,TEX,7.3,10,12.3,J. Smith,,,,,,,,,,,,0,2.4,0.345,,,,,,,,
Trevor Story,"3,700.00",SS,YES,BOS,LAD,#N/A,LAD,BOS,7.2,10,12.2,T. Story,,,,,,,,,,,,0,2.1,0.314,,,,,,,,
Dansby Swanson,"4,100.00",SS,YES,CHC,CWS,CHC,CHC,CWS,7.2,8,11.2,D. Swanson,29%,14%,13,2,0,0,0,1,0.154,0.214,0.368,17.17,2.7,0.322,,,,,,,,
Mike Trout,"4,700.00",OF,YES,LAA,SEA,#N/A,SEA,LAA,7.2,8,11.2,M. Trout,0%,0%,2,0,0,0,0,0,0,0,0,2,1.1,0.354,,,,,,,,
Josh Jung,"3,500.00",3B,YES,TEX,ATL,#N/A,ATL,TEX,7.2,10,12.2,J. Jung,,,,,,,,,,,,0,0.5,0.295,,,,,,,,
Alejandro Kirk,"3,900.00",C,YES,TOR,DET,Tor,Tor,DET,7.1,8,11.1,A. Kirk,,,,,,,,,,,,0,1.7,0.339,,,,,,,,
Luis Garcia,"3,700.00",2B,YES,WAS,MIN,WAS,WAS,MIN,7.1,10,12.1,L. Garcia,,,,,,,,,,,,0,1,0.3,1.59,29,,,,,,
Pete Alonso,"5,000.00",1B,EXP.,NYM,SF,NYM,NYM,SF,7.1,8,11.1,P. Alonso,28%,11%,16,2,0,0,1,2,0.125,0.222,0.535,22.27,2.8,0.377,,,,,,,,
Wyatt Langford,"4,200.00",OF,YES,TEX,ATL,#N/A,ATL,TEX,7.1,10,12.1,W. Langford,0%,0%,2,0,0,0,0,0,0,0,0,2,2.7,0.323,,,,,,,,
Masataka Yoshida,"3,000.00",OF,YES,BOS,LAD,#N/A,LAD,BOS,7,10,12,M. Yoshida,,,,,,,,,,,,0,-0.2,0.263,,,,,,,,
Nico Hoerner,"3,800.00",2B,YES,CHC,CWS,CHC,CHC,CWS,7,8,11,N. Hoerner,30%,20%,10,1,0,0,0,0,0.1,0.1,0.2,11.9,4,0.329,,,,,,,,
Ernie Clement,"3,400.00",2B/3B,YES,TOR,DET,Tor,Tor,DET,7,8,11,E. Clement,100%,100%,2,1,0,0,0,0,0.5,0.5,1,7,2.5,0.306,,,,,,,,
Colt Keith,"3,400.00",2B/3B,YES,DET,TOR,#N/A,TOR,DET,7,8,11,C. Keith,0%,0%,3,0,0,0,0,0,0,0,0,3,1,0.33,,,,,,,,
Jonathan India,"3,200.00",2B,YES,KC,CLE,#N/A,CLE,KC,7,8,11,J. India,,,,,,,,,,,,0,-0.3,0.294,,,,,,,,
Max Kepler,"3,500.00",OF,YES,PHI,NYY,Phi,Phi,NYY,7,10,12,M. Kepler,,,,,,,,,,,,0,-0.3,0.295,,,,,,,,
Matt Chapman,"3,900.00",3B,EXP.,SF,NYM,#N/A,NYM,SF,7,8,11,M. Chapman,55%,36%,10,3,0,0,0,1,0.3,0.364,0.664,16.24,3.3,0.352,,,,,,,,
Jake Cronenworth,"3,800.00",1B/2B,YES,SD,STL,SD,SD,STL,7,10,12,J. Cronenworth,56%,33%,7,1,0,0,0,2,0.143,0.333,0.476,11.84,0.9,0.333,,,,,,,,
Ozzie Albies,"3,500.00",2B,YES,ATL,TEX,Atl,Atl,TEX,7,10,12,O. Albies,25%,25%,8,0,0,0,0,0,0,0,0,8.5,1,0.3,,,,,,,,
Michael Helman,"2,700.00",OF,YES,TEX,ATL,#N/A,ATL,TEX,7,10,12,M. Helman,,,,,,,,,,,,0,0.1,0.332,,,,,,,,
Tyler Stephenson,"3,200.00",C,YES,CIN,TB,#N/A,TB,CIN,6.9,10,11.9,T. Stephenson,25%,0%,4,1,0,0,0,0,0.25,0.25,0.5,6.25,0.8,0.315,,,,,,,,
Will Benson,"3,500.00",OF,YES,CIN,TB,#N/A,TB,CIN,6.9,10,11.9,W. Benson,,,,,,,,,,,,0,0,0.289,,,,,,,,
Dominic Canzone,"3,300.00",OF,EXP.,SEA,LAA,Sea,Sea,LAA,6.9,8,10.9,D. Canzone,20%,20%,5,0,0,0,0,0,0,0,0,5.4,0.8,0.361,,,,,,,,
Brady House,"3,300.00",3B,YES,WAS,MIN,WAS,WAS,MIN,6.9,10,11.9,B. House,,,,,,,,,,,,0,0.1,0.304,,,,,,,,
Ty France,"3,600.00",1B,YES,MIN,WAS,#N/A,WAS,MIN,6.9,10,11.9,T. France,33%,33%,3,1,0,0,0,0,0.333,0.333,0.666,5.99,0.4,0.307,,,,,,,,
Royce Lewis,"3,000.00",3B,YES,MIN,WAS,#N/A,WAS,MIN,6.9,10,11.9,R. Lewis,,,,,,,,,,,,0,0.5,0.31,,,,,,,,
Willy Adames,"4,200.00",SS,EXP.,SF,NYM,#N/A,NYM,SF,6.9,8,10.9,W. Adames,100%,50%,1,1,1,0,0,1,1,1,3,10.5,1.3,0.317,,,,,,,,
Jung Hoo,"3,700.00",OF,EXP.,SF,NYM,#N/A,NYM,SF,6.9,8,10.9,J. Hoo,,,,,,,,,,,,0,1,0.3,,,,,,,,
Ezequiel Tovar,"3,000.00",SS,YES,COL,BAL,Col,Col,BAL,6.8,10,11.8,E. Tovar,0%,0%,2,0,0,0,0,0,0,0,0,2,0.8,0.325,,,,,,,,
Jordan Beck,"4,000.00",OF,YES,COL,BAL,Col,Col,BAL,6.8,10,11.8,J. Beck,50%,0%,2,0,0,0,0,0,0,0,0,2.5,0.9,0.347,,,,,,,,
Austin Slater,"3,100.00",OF,YES,CWS,CHC,#N/A,CHC,CWS,6.8,8,10.8,A. Slater,33%,0%,3,1,0,0,0,0,0.333,0.333,0.666,5.66,0.3,0.318,,,,,,,,
Chase Meidroth,"3,300.00",2B/SS,YES,CWS,CHC,#N/A,CHC,CWS,6.8,8,10.8,C. Meidroth,,,,,,,,,,,,0,0.9,0.3,,,,,,,,
Zach McKinstry,"4,100.00",3B/OF,YES,DET,TOR,#N/A,TOR,DET,6.8,8,10.8,Z. McKinstry,0%,0%,2,0,0,0,0,0,0,0,0,2,2.4,0.355,,,,,,,,
Otto Kemp,"3,200.00",3B/OF,YES,PHI,NYY,Phi,Phi,NYY,6.8,10,11.8,O. Kemp,,,,,,,,,,,,0,0.2,0.314,,,,,,,,
Michael Harris,"2,900.00",OF,YES,ATL,TEX,Atl,Atl,TEX,6.8,10,11.8,M. Harris,50%,17%,6,2,0,0,0,0,0.333,0.333,0.666,10,1,0.3,,,,,,,,
Abraham Toro,"2,700.00",1B,YES,BOS,LAD,#N/A,LAD,BOS,6.7,10,11.7,A. Toro,,,,,,,,,,,,0,1,0.3,,,,,,,,
Hyeseong Kim,"3,900.00",2B,YES,LAD,BOS,LAD,LAD,BOS,6.7,10,11.7,H. Kim,0%,0%,2,0,0,0,0,0,0,0,0,2,1.8,0.378,,,,,,,,
Christopher Morel,"3,700.00",OF,YES,TB,CIN,TB,TB,CIN,6.7,10,11.7,C. Morel,,,,,,,,,,,,0,-0.2,0.309,,,,,,,,
Jose Caballero,"4,300.00",2B/SS,YES,TB,CIN,TB,TB,CIN,6.7,10,11.7,J. Caballero,,,,,,,,,,,,0,1,0.3,,,,,,,,
Carlos Santana,"3,100.00",1B,YES,CLE,KC,Cle,Cle,KC,6.7,8,10.7,C. Santana,43%,7%,11,1,1,0,0,2,0.091,0.214,0.396,16.2,1,0.3,,,,,,,,
Jo Adell,"3,800.00",OF,YES,LAA,SEA,#N/A,SEA,LAA,6.7,8,10.7,J. Adell,100%,25%,3,3,0,0,2,1,1,1,4,16.25,0.4,0.337,,,,,,,,
Nolan Schanuel,"3,700.00",1B,YES,LAA,SEA,#N/A,SEA,LAA,6.7,8,10.7,N. Schanuel,56%,33%,8,3,0,0,0,0,0.375,0.444,0.819,13.53,1.7,0.341,,,,,,,,
Daylen Lile,"3,000.00",OF,YES,WAS,MIN,WAS,WAS,MIN,6.7,10,11.7,D. Lile,,,,,,,,,,,,0,-0.8,0.288,,,,,,,,
Heliot Ramos,"4,000.00",OF,EXP.,SF,NYM,#N/A,NYM,SF,6.7,8,10.7,H. Ramos,0%,0%,1,0,0,0,0,0,0,0,0,1,1,0.334,,,,,,,,
Michael Conforto,"3,000.00",OF,YES,LAD,BOS,LAD,LAD,BOS,6.6,10,11.6,M. Conforto,,,,,,,,,,,,0,-0.7,0.283,,,,,,,,
Tommy Edman,"3,600.00",2B/3B,YES,LAD,BOS,LAD,LAD,BOS,6.6,10,11.6,T. Edman,,,,,,,,,,,,0,1,0.3,,,,,,,,
Mike Tauchman,"3,500.00",OF,YES,CWS,CHC,#N/A,CHC,CWS,6.6,8,10.6,M. Tauchman,,,,,,,,,,,,0,1.3,0.364,,,,,,,,
Victor Caratini,"3,400.00",1B/C,YES,HOU,OAK,#N/A,OAK,HOU,6.6,8,10.6,V. Caratini,,,,,,,,,,,,0,1,0.3,,,,,,,,
Mike Yastrzemski,"3,400.00",OF,EXP.,SF,NYM,#N/A,NYM,SF,6.6,8,10.6,M. Yastrzemski,25%,25%,4,1,1,0,0,0,0.25,0.25,0.75,7.75,2.3,0.322,,,,,,,,
Jeff McNeil,"3,500.00",2B/OF,EXP.,NYM,SF,NYM,NYM,SF,6.6,8,10.6,J. McNeil,38%,6%,15,4,2,0,0,1,0.267,0.313,0.713,23.73,1.6,0.356,,,,,,,,
Drake Baldwin,"4,400.00",C,YES,ATL,TEX,Atl,Atl,TEX,6.6,10,11.6,D. Baldwin,,,,,,,,,,,,0,2.3,0.371,,,,,,,,
Coby Mayo,"2,800.00",1B,YES,BAL,COL,#N/A,COL,BAL,6.5,10,11.5,C. Mayo,,,,,,,,,,,,0,-0.6,0.265,,,,,,,,
Parker Meadows,"2,800.00",OF,YES,DET,TOR,#N/A,TOR,DET,6.5,8,10.5,P. Meadows,,,,,,,,,,,,0,-0.3,0.248,,,,,,,,
Will Wagner,"2,600.00",1B/3B,YES,TOR,DET,Tor,Tor,DET,6.5,8,10.5,W. Wagner,,,,,,,,,,,,0,0,0.329,,,,,,,,
Mauricio Dubon,"2,800.00",3B/SS,YES,HOU,OAK,#N/A,OAK,HOU,6.5,8,10.5,M. Dubon,,,,,,,,,,,,0,1,0.3,,,,,,,,
Daniel Schneemann,"2,900.00",2B/3B,YES,CLE,KC,Cle,Cle,KC,6.5,8,10.5,D. Schneemann,33%,33%,5,1,0,0,0,0,0.2,0.167,0.367,7.39,1.1,0.31,,,,,,,,
Brooks Lee,"2,900.00",2B/SS,YES,MIN,WAS,#N/A,WAS,MIN,6.5,10,11.5,B. Lee,,,,,,,,,,,,0,1,0.3,,,,,,,,
Jacob Young,"2,400.00",OF,YES,WAS,MIN,WAS,WAS,MIN,6.5,10,11.5,J. Young,,,,,,,,,,,,0,1.1,0.276,,,,,,,,
